Parameter Name,Theoretical Relationship with Redshift,Relationship Explanation,Notes,Units,Known Redshift Dependence,Type of Parameter
pflx_band_phtflux,Complex relationship with z,Peak photon flux from Band model,Peak photon rate decreases with distance,Photons/cm²/s,Decreases with z²,Photon
pflx_band_phtflux_error,Complex relationship with z,Error in flux/fluence measurement,Error propagates with underlying parameter dependencies,Same as base parameter,Complex,Error
pflx_band_phtfluxb,Complex relationship with z,Peak broad-band photon flux,Peak photon flux in broader energy band,Photons/cm²/s,Decreases with z²,Photon
pflx_band_phtfluxb_error,Complex relationship with z,Error in flux/fluence measurement,Error propagates with underlying parameter dependencies,Same as base parameter,Complex,Error
pflx_band_redchisq,No relationship,Reduced chi-squared for Band function fit to peak flux,Statistical fit quality measure,Dimensionless,None,Statistical
pflx_band_redfitstat,No relationship,Reduced fit statistic for Band function peak flux fit,Fit quality statistic,Dimensionless,None,Statistical
pflx_band_statistic,No relationship,Fit statistic for Band function peak flux model,Statistical measure,Dimensionless,None,Statistical
pflx_comp_ampl,Complex relationship with z,Comptonized model amplitude for peak flux,Peak flux normalization decreases with distance,Photons/keV/cm²/s,Decreases with distance,Spectral
pflx_comp_ampl_neg_err,Complex relationship with z,Error in Comptonized model amplitude,Error scales with amplitude dependencies,Same as amplitude,Complex,Spectral
pflx_comp_ampl_pos_err,Complex relationship with z,Error in Comptonized model amplitude,Error scales with amplitude dependencies,Same as amplitude,Complex,Spectral
pflx_comp_dof,No relationship,Degrees of freedom for Comptonized model fit to peak flux,Statistical parameter,Count,None,Statistical
pflx_comp_epeak,"Shifts as Epeak,obs = Epeak,rest/(1+z)",Peak energy for Comptonized model (peak flux),Cosmologically redshifted,keV,Inverse linear with (1+z),Spectral
pflx_comp_epeak_neg_err,Scales with (1+z),Error in peak energy measurement,Error propagates with redshift scaling of Epeak,keV,Scales with redshift,Spectral
pflx_comp_epeak_pos_err,Scales with (1+z),Error in peak energy measurement,Error propagates with redshift scaling of Epeak,keV,Scales with redshift,Spectral
pflx_comp_ergflnc,Complex relationship with z,Energy fluence/flux from Comptonized model,Energy measurement affected by distance and K-correction,erg/cm² or erg/cm²/s,Decreases with z² and K-correction,Energy
pflx_comp_ergflnc_error,Complex relationship with z,Error in Comptonized model energy/photon parameter,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_comp_ergflncb,Complex relationship with z,Energy fluence/flux from Comptonized model,Energy measurement affected by distance and K-correction,erg/cm² or erg/cm²/s,Decreases with z² and K-correction,Energy
pflx_comp_ergflncb_error,Complex relationship with z,Error in Comptonized model energy/photon parameter,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_comp_ergflux,Complex relationship with z,Energy fluence/flux from Comptonized model,Energy measurement affected by distance and K-correction,erg/cm² or erg/cm²/s,Decreases with z² and K-correction,Energy
pflx_comp_ergflux_error,Complex relationship with z,Error in Comptonized model energy/photon parameter,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_comp_index,No direct relationship,Power-law index in Comptonized model for peak flux,Intrinsic spectral parameter,Dimensionless,None,Spectral
pflx_comp_index_neg_err,No direct relationship,Error in Comptonized model spectral index,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_comp_index_pos_err,No direct relationship,Error in Comptonized model spectral index,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_comp_phtflnc,Complex relationship with z,Photon fluence/flux from Comptonized model,Photon count affected by distance and spectral evolution,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_comp_phtflnc_error,Complex relationship with z,Error in Comptonized model energy/photon parameter,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_comp_phtflncb,Complex relationship with z,Photon fluence/flux from Comptonized model,Photon count affected by distance and spectral evolution,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_comp_phtflncb_error,Complex relationship with z,Error in Comptonized model energy/photon parameter,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_comp_phtflux,Complex relationship with z,Photon fluence/flux from Comptonized model,Photon count affected by distance and spectral evolution,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_comp_phtflux_error,Complex relationship with z,Error in Comptonized model energy/photon parameter,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_comp_phtfluxb,Complex relationship with z,Photon fluence/flux from Comptonized model,Photon count affected by distance and spectral evolution,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_comp_phtfluxb_error,Complex relationship with z,Error in Comptonized model energy/photon parameter,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_comp_pivot,"Shifts as Epivot,obs = Epivot,rest/(1+z)",Pivot energy for peak flux Comptonized model,Cosmologically redshifted energy parameter,keV,Inverse linear with (1+z),Spectral
pflx_comp_pivot_neg_err,Scales with redshift,Error in pivot energy measurement,Error scales with energy redshift,keV,Scales with redshift,Spectral
pflx_comp_pivot_pos_err,Scales with redshift,Error in pivot energy measurement,Error scales with energy redshift,keV,Scales with redshift,Spectral
pflx_comp_redchisq,No relationship,Reduced chi-squared for Comptonized peak flux fit,Statistical fit quality,Dimensionless,None,Statistical
pflx_comp_redfitstat,No relationship,Reduced fit statistic for Comptonized peak flux model,Fit quality measure,Dimensionless,None,Statistical
pflx_comp_statistic,No relationship,Fit statistic for Comptonized peak flux model,Statistical parameter,Dimensionless,None,Statistical
pflx_plaw_ampl,Complex relationship with z,Power-law model amplitude for peak flux,Peak flux normalization affected by distance,Photons/keV/cm²/s,Decreases with distance,Spectral
pflx_plaw_ampl_neg_err,Complex relationship with z,Error in power-law amplitude,Error scales with amplitude,Same as amplitude,Complex,Spectral
pflx_plaw_ampl_pos_err,Complex relationship with z,Error in power-law amplitude,Error scales with amplitude,Same as amplitude,Complex,Spectral
pflx_plaw_dof,No relationship,Degrees of freedom for power-law peak flux fit,Statistical parameter,Count,None,Statistical
pflx_plaw_ergflnc,Complex relationship with z,Energy fluence/flux from power-law model,Energy affected by distance and K-correction,erg/cm² or erg/cm²/s,Decreases with z² and K-correction,Energy
pflx_plaw_ergflnc_error,Complex relationship with z,Error in power-law energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_plaw_ergflncb,Complex relationship with z,Energy fluence/flux from power-law model,Energy affected by distance and K-correction,erg/cm² or erg/cm²/s,Decreases with z² and K-correction,Energy
pflx_plaw_ergflncb_error,Complex relationship with z,Error in power-law energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_plaw_ergflux,Complex relationship with z,Energy fluence/flux from power-law model,Energy affected by distance and K-correction,erg/cm² or erg/cm²/s,Decreases with z² and K-correction,Energy
pflx_plaw_ergflux_error,Complex relationship with z,Error in power-law energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_plaw_index,No direct relationship,Power-law spectral index for peak flux,Intrinsic spectral parameter,Dimensionless,None,Spectral
pflx_plaw_index_neg_err,No direct relationship,Error in power-law spectral index,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_plaw_index_pos_err,No direct relationship,Error in power-law spectral index,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_plaw_phtflnc,Complex relationship with z,Photon fluence/flux from power-law model,Photon count affected by distance and spectral shift,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_plaw_phtflnc_error,Complex relationship with z,Error in power-law energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_plaw_phtflncb,Complex relationship with z,Photon fluence/flux from power-law model,Photon count affected by distance and spectral shift,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_plaw_phtflncb_error,Complex relationship with z,Error in power-law energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_plaw_phtflux,Complex relationship with z,Photon fluence/flux from power-law model,Photon count affected by distance and spectral shift,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_plaw_phtflux_error,Complex relationship with z,Error in power-law energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_plaw_phtfluxb,Complex relationship with z,Photon fluence/flux from power-law model,Photon count affected by distance and spectral shift,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_plaw_phtfluxb_error,Complex relationship with z,Error in power-law energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_plaw_pivot,"Shifts as Epivot,obs = Epivot,rest/(1+z)",Pivot energy for peak flux power-law model,Reference energy cosmologically redshifted,keV,Inverse linear with (1+z),Spectral
pflx_plaw_pivot_neg_err,Scales with redshift,Error in pivot energy,Error affected by energy redshift,keV,Scales with redshift,Spectral
pflx_plaw_pivot_pos_err,Scales with redshift,Error in pivot energy,Error affected by energy redshift,keV,Scales with redshift,Spectral
pflx_plaw_redchisq,No relationship,Reduced chi-squared for power-law peak flux fit,Statistical fit measure,Dimensionless,None,Statistical
pflx_plaw_redfitstat,No relationship,Reduced fit statistic for power-law peak flux,Fit quality statistic,Dimensionless,None,Statistical
pflx_plaw_statistic,No relationship,Fit statistic for power-law peak flux model,Statistical parameter,Dimensionless,None,Statistical
pflx_sbpl_ampl,Complex relationship with z,SBPL amplitude for peak flux,Peak flux normalization affected by distance,Photons/keV/cm²/s,Decreases with distance,Spectral
pflx_sbpl_ampl_neg_err,Complex relationship with z,Error in SBPL amplitude,Error scales with amplitude,Same as amplitude,Complex,Spectral
pflx_sbpl_ampl_pos_err,Complex relationship with z,Error in SBPL amplitude,Error scales with amplitude,Same as amplitude,Complex,Spectral
pflx_sbpl_brken,"Shifts as Ebreak,obs = Ebreak,rest/(1+z)",Break energy for peak flux SBPL,Break energy redshifted to lower values,keV,Inverse linear with (1+z),Spectral
pflx_sbpl_brken_neg_err,Scales with redshift,Error in SBPL energy parameter,Error affected by energy redshift,keV,Scales with redshift,Spectral
pflx_sbpl_brken_pos_err,Scales with redshift,Error in SBPL energy parameter,Error affected by energy redshift,keV,Scales with redshift,Spectral
pflx_sbpl_brksc,No direct relationship,Break scale parameter for peak flux SBPL,Intrinsic shape parameter,Dimensionless,None,Spectral
pflx_sbpl_brksc_neg_err,No direct relationship,Error in SBPL shape parameter,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_sbpl_brksc_pos_err,No direct relationship,Error in SBPL shape parameter,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_sbpl_dof,No relationship,Degrees of freedom for SBPL peak flux fit,Statistical parameter,Count,None,Statistical
pflx_sbpl_ergflnc,Complex relationship with z,Energy fluence/flux from SBPL model,Energy measurement affected by distance and K-correction,erg/cm² or erg/cm²/s,Decreases with z² and K-correction,Energy
pflx_sbpl_ergflnc_error,Complex relationship with z,Error in SBPL energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_sbpl_ergflncb,Complex relationship with z,Energy fluence/flux from SBPL model,Energy measurement affected by distance and K-correction,erg/cm² or erg/cm²/s,Decreases with z² and K-correction,Energy
pflx_sbpl_ergflncb_error,Complex relationship with z,Error in SBPL energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_sbpl_ergflux,Complex relationship with z,Energy fluence/flux from SBPL model,Energy measurement affected by distance and K-correction,erg/cm² or erg/cm²/s,Decreases with z² and K-correction,Energy
pflx_sbpl_ergflux_error,Complex relationship with z,Error in SBPL energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_sbpl_indx1,No direct relationship,First power-law index in SBPL peak flux model,Intrinsic spectral parameter,Dimensionless,None,Spectral
pflx_sbpl_indx1_neg_err,No direct relationship,Error in SBPL shape parameter,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_sbpl_indx1_pos_err,No direct relationship,Error in SBPL shape parameter,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_sbpl_indx2,No direct relationship,Second power-law index in SBPL peak flux model,Intrinsic spectral parameter,Dimensionless,None,Spectral
pflx_sbpl_indx2_neg_err,No direct relationship,Error in SBPL shape parameter,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_sbpl_indx2_pos_err,No direct relationship,Error in SBPL shape parameter,Intrinsic parameter error,Dimensionless,None,Spectral
pflx_sbpl_phtflnc,Complex relationship with z,Photon fluence/flux from SBPL model,Photon count affected by distance and spectral effects,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_sbpl_phtflnc_error,Complex relationship with z,Error in SBPL energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_sbpl_phtflncb,Complex relationship with z,Photon fluence/flux from SBPL model,Photon count affected by distance and spectral effects,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_sbpl_phtflncb_error,Complex relationship with z,Error in SBPL energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_sbpl_phtflux,Complex relationship with z,Photon fluence/flux from SBPL model,Photon count affected by distance and spectral effects,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_sbpl_phtflux_error,Complex relationship with z,Error in SBPL energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_sbpl_phtfluxb,Complex relationship with z,Photon fluence/flux from SBPL model,Photon count affected by distance and spectral effects,Photons/cm² or Photons/cm²/s,Complex with K-correction,Photon
pflx_sbpl_phtfluxb_error,Complex relationship with z,Error in SBPL energy/photon measurement,Error propagates with base parameter,Same as base parameter,Complex,Error
pflx_sbpl_pivot,"Shifts as Epivot,obs = Epivot,rest/(1+z)",Pivot energy in SBPL peak flux model,Energy reference point redshifted,keV,Inverse linear with (1+z),Spectral
pflx_sbpl_pivot_neg_err,Scales with redshift,Error in SBPL energy parameter,Error affected by energy redshift,keV,Scales with redshift,Spectral
pflx_sbpl_pivot_pos_err,Scales with redshift,Error in SBPL energy parameter,Error affected by energy redshift,keV,Scales with redshift,Spectral
pflx_sbpl_redchisq,No relationship,Reduced chi-squared for SBPL peak flux fit,Statistical fit quality,Dimensionless,None,Statistical
pflx_sbpl_redfitstat,No relationship,Reduced fit statistic for SBPL peak flux,Fit quality measure,Dimensionless,None,Statistical
pflx_sbpl_statistic,No relationship,Fit statistic for SBPL peak flux model,Statistical parameter,Dimensionless,None,Statistical
pflx_spectrum_start,Affected by (1+z),Start time of peak flux spectrum,Temporal parameter affected by time dilation,Seconds,Linear with (1+z),Temporal
pflx_spectrum_stop,Affected by (1+z),Stop time of peak flux spectrum,Time interval boundary dilated,Seconds,Linear with (1+z),Temporal
scat_detector_mask,No relationship,Detector mask for spectral catalog,Instrumental setup parameter,Bitmask,None,Instrumental
scatalog,No relationship,Secondary catalog flag,Database categorization,Text/Flag,None,Metadata
t50,Proportional to (1+z),"Duration containing 50% of burst energy, stretched by time dilation",Observed T50 = Intrinsic T50 × (1+z),Seconds,Linear with (1+z),Temporal
t50_error,Proportional to (1+z),Error in T50 measurement,Error scales with time dilation,Seconds,Linear with (1+z),Temporal
t50_start,Affected by (1+z),Start time of T50 interval,Relative timing affected by time dilation,Seconds,Linear with (1+z),Temporal
trigger_name,No relationship,Instrument trigger designation,Operational parameter,Text,None,Identifier
