Parameter,Category,Relationship_with_Redshift,Description
pflx_comp_index_pos_err,Uncertainty,Weak correlation,Spectral indices may show weak evolution with redshift due to selection effects
pflx_comp_phtflnc,Photon Statistics,Moderate correlation,Photon-based parameters show moderate correlations with redshift through spectral evolution and detection limits
pflx_comp_phtflnc_error,Uncertainty,Moderate correlation,Photon parameter uncertainties increase with redshift due to lower photon statistics
pflx_comp_phtflncb,Photon Statistics,Moderate correlation,Photon-based parameters show moderate correlations with redshift through spectral evolution and detection limits
pflx_comp_phtflncb_error,Uncertainty,Moderate correlation,Photon parameter uncertainties increase with redshift due to lower photon statistics
pflx_comp_phtflux,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
pflx_comp_phtflux_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
pflx_comp_phtfluxb,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
pflx_comp_phtfluxb_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
pflx_comp_pivot,Spectral Reference,Weak correlation,Pivot energy used in spectral fitting may show weak correlation with redshift through selection effects
pflx_comp_pivot_neg_err,Spectral Reference,Weak correlation,Pivot energy used in spectral fitting may show weak correlation with redshift through selection effects
pflx_comp_pivot_pos_err,Spectral Reference,Weak correlation,Pivot energy used in spectral fitting may show weak correlation with redshift through selection effects
pflx_comp_redchisq,Fit Quality,Weak correlation,Reduced chi-squared values may show weak correlation with redshift due to decreasing signal-to-noise affecting fit quality
pflx_comp_redfitstat,Fit Quality,Weak correlation,Fit statistics may show weak correlation with redshift due to data quality effects
pflx_comp_statistic,Fit Quality,Weak correlation,Fit statistics may show weak correlation with redshift due to data quality effects
pflx_plaw_ampl,Spectral Normalization,Strong inverse correlation,Spectral amplitude decreases with redshift due to luminosity distance effects in observed frame
pflx_plaw_ampl_neg_err,Spectral Normalization,Strong inverse correlation,Spectral amplitude decreases with redshift due to luminosity distance effects in observed frame
pflx_plaw_ampl_pos_err,Spectral Normalization,Strong inverse correlation,Spectral amplitude decreases with redshift due to luminosity distance effects in observed frame
pflx_plaw_dof,Fit Quality,None,Degrees of freedom in spectral fitting are independent of redshift as they depend only on model complexity
pflx_plaw_ergflnc,Energy,Strong correlation,Energy parameters show strong correlations with redshift through luminosity distance calculations and cosmological corrections
pflx_plaw_ergflnc_error,Uncertainty,Moderate correlation,Energy measurement uncertainties increase with redshift due to propagation of flux and distance errors
pflx_plaw_ergflncb,Energy,Strong correlation,Energy parameters show strong correlations with redshift through luminosity distance calculations and cosmological corrections
pflx_plaw_ergflncb_error,Uncertainty,Moderate correlation,Energy measurement uncertainties increase with redshift due to propagation of flux and distance errors
pflx_plaw_ergflux,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
pflx_plaw_ergflux_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
pflx_plaw_index,Spectral Index,Weak correlation,Spectral indices may show weak evolution with redshift due to selection effects
pflx_plaw_index_neg_err,Uncertainty,Weak correlation,Spectral indices may show weak evolution with redshift due to selection effects
pflx_plaw_index_pos_err,Uncertainty,Weak correlation,Spectral indices may show weak evolution with redshift due to selection effects
pflx_plaw_phtflnc,Photon Statistics,Moderate correlation,Photon-based parameters show moderate correlations with redshift through spectral evolution and detection limits
pflx_plaw_phtflnc_error,Uncertainty,Moderate correlation,Photon parameter uncertainties increase with redshift due to lower photon statistics
pflx_plaw_phtflncb,Photon Statistics,Moderate correlation,Photon-based parameters show moderate correlations with redshift through spectral evolution and detection limits
pflx_plaw_phtflncb_error,Uncertainty,Moderate correlation,Photon parameter uncertainties increase with redshift due to lower photon statistics
pflx_plaw_phtflux,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
pflx_plaw_phtflux_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
pflx_plaw_phtfluxb,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
pflx_plaw_phtfluxb_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
pflx_plaw_pivot,Spectral Reference,Weak correlation,Pivot energy used in spectral fitting may show weak correlation with redshift through selection effects
pflx_plaw_pivot_neg_err,Spectral Reference,Weak correlation,Pivot energy used in spectral fitting may show weak correlation with redshift through selection effects
pflx_plaw_pivot_pos_err,Spectral Reference,Weak correlation,Pivot energy used in spectral fitting may show weak correlation with redshift through selection effects
pflx_plaw_redchisq,Fit Quality,Weak correlation,Reduced chi-squared values may show weak correlation with redshift due to decreasing signal-to-noise affecting fit quality
pflx_plaw_redfitstat,Fit Quality,Weak correlation,Fit statistics may show weak correlation with redshift due to data quality effects
pflx_plaw_statistic,Fit Quality,Weak correlation,Fit statistics may show weak correlation with redshift due to data quality effects
pflx_sbpl_ampl,Spectral Normalization,Strong inverse correlation,Spectral amplitude decreases with redshift due to luminosity distance effects in observed frame
pflx_sbpl_ampl_neg_err,Spectral Normalization,Strong inverse correlation,Spectral amplitude decreases with redshift due to luminosity distance effects in observed frame
pflx_sbpl_ampl_pos_err,Spectral Normalization,Strong inverse correlation,Spectral amplitude decreases with redshift due to luminosity distance effects in observed frame
pflx_sbpl_brken,Spectral Break,Moderate correlation,Break energies and scales in smoothly broken power law models show correlations with redshift through spectral evolution
pflx_sbpl_brken_neg_err,Uncertainty,Moderate correlation,Break energies and scales in smoothly broken power law models show correlations with redshift through spectral evolution
pflx_sbpl_brken_pos_err,Uncertainty,Moderate correlation,Break energies and scales in smoothly broken power law models show correlations with redshift through spectral evolution
pflx_sbpl_brksc,Spectral Break,Moderate correlation,Break energies and scales in smoothly broken power law models show correlations with redshift through spectral evolution
pflx_sbpl_brksc_neg_err,Uncertainty,Moderate correlation,Break energies and scales in smoothly broken power law models show correlations with redshift through spectral evolution
pflx_sbpl_brksc_pos_err,Uncertainty,Moderate correlation,Break energies and scales in smoothly broken power law models show correlations with redshift through spectral evolution
pflx_sbpl_dof,Fit Quality,None,Degrees of freedom in spectral fitting are independent of redshift as they depend only on model complexity
pflx_sbpl_ergflnc,Energy,Strong correlation,Energy parameters show strong correlations with redshift through luminosity distance calculations and cosmological corrections
pflx_sbpl_ergflnc_error,Uncertainty,Moderate correlation,Energy measurement uncertainties increase with redshift due to propagation of flux and distance errors
pflx_sbpl_ergflncb,Energy,Strong correlation,Energy parameters show strong correlations with redshift through luminosity distance calculations and cosmological corrections
pflx_sbpl_ergflncb_error,Uncertainty,Moderate correlation,Energy measurement uncertainties increase with redshift due to propagation of flux and distance errors
pflx_sbpl_ergflux,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
pflx_sbpl_ergflux_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
pflx_sbpl_indx1,Spectral Index,Unknown/Complex,Parameter relationship with redshift requires detailed analysis of specific physical meaning
pflx_sbpl_indx1_neg_err,Uncertainty,Unknown/Complex,Parameter relationship with redshift requires detailed analysis of specific physical meaning
pflx_sbpl_indx1_pos_err,Uncertainty,Unknown/Complex,Parameter relationship with redshift requires detailed analysis of specific physical meaning
pflx_sbpl_indx2,Spectral Index,Unknown/Complex,Parameter relationship with redshift requires detailed analysis of specific physical meaning
pflx_sbpl_indx2_neg_err,Uncertainty,Unknown/Complex,Parameter relationship with redshift requires detailed analysis of specific physical meaning
pflx_sbpl_indx2_pos_err,Uncertainty,Unknown/Complex,Parameter relationship with redshift requires detailed analysis of specific physical meaning
pflx_sbpl_phtflnc,Photon Statistics,Moderate correlation,Photon-based parameters show moderate correlations with redshift through spectral evolution and detection limits
pflx_sbpl_phtflnc_error,Uncertainty,Moderate correlation,Photon parameter uncertainties increase with redshift due to lower photon statistics
pflx_sbpl_phtflncb,Photon Statistics,Moderate correlation,Photon-based parameters show moderate correlations with redshift through spectral evolution and detection limits
pflx_sbpl_phtflncb_error,Uncertainty,Moderate correlation,Photon parameter uncertainties increase with redshift due to lower photon statistics
pflx_sbpl_phtflux,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
pflx_sbpl_phtflux_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
pflx_sbpl_phtfluxb,Flux/Luminosity,Strong inverse correlation,Flux decreases with redshift due to luminosity distance relationship: F ∝ L/(4πd_L²) where d_L increases with redshift
pflx_sbpl_phtfluxb_error,Uncertainty,Moderate correlation,Flux measurement uncertainties generally increase with redshift due to lower signal-to-noise ratios
pflx_sbpl_pivot,Spectral Reference,Weak correlation,Pivot energy used in spectral fitting may show weak correlation with redshift through selection effects
pflx_sbpl_pivot_neg_err,Spectral Reference,Weak correlation,Pivot energy used in spectral fitting may show weak correlation with redshift through selection effects
pflx_sbpl_pivot_pos_err,Spectral Reference,Weak correlation,Pivot energy used in spectral fitting may show weak correlation with redshift through selection effects
pflx_sbpl_redchisq,Fit Quality,Weak correlation,Reduced chi-squared values may show weak correlation with redshift due to decreasing signal-to-noise affecting fit quality
pflx_sbpl_redfitstat,Fit Quality,Weak correlation,Fit statistics may show weak correlation with redshift due to data quality effects
pflx_sbpl_statistic,Fit Quality,Weak correlation,Fit statistics may show weak correlation with redshift due to data quality effects
pflx_spectrum_start,Time Interval,None,Observational timing parameters with no direct relationship to redshift
pflx_spectrum_stop,Time Interval,None,Observational timing parameters with no direct relationship to redshift
scat_detector_mask,Instrumental,None,Detector mask configuration is independent of source redshift
scatalog,Instrumental,None,Identifier/catalog parameter with no physical relationship to redshift
t50,Duration,Strong inverse correlation,Duration parameters show strong inverse correlation with redshift due to cosmological time dilation effect: T_observed = T_intrinsic × (1+z)
t50_error,Duration,Strong inverse correlation,Duration parameters show strong inverse correlation with redshift due to cosmological time dilation effect: T_observed = T_intrinsic × (1+z)
t50_start,Duration,Strong inverse correlation,Duration parameters show strong inverse correlation with redshift due to cosmological time dilation effect: T_observed = T_intrinsic × (1+z)
trigger_name,Identifier,None,Identifier/catalog parameter with no physical relationship to redshift
